"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 29, 2017","849.87","842.75","851.59","841.38","1.46M","1.10%"
"Mar 28, 2017","840.63","839.69","845.40","832.26","1.52M","0.25%"
"Mar 27, 2017","838.51","828.09","841.38","824.30","1.94M","0.40%"
"Mar 24, 2017","835.14","842.00","844.00","829.10","2.11M","-0.54%"
"Mar 23, 2017","839.65","841.39","841.69","833.00","3.29M","-1.19%"
"Mar 22, 2017","849.80","849.48","855.35","847.00","1.37M","-0.04%"
"Mar 21, 2017","850.14","870.06","873.47","847.69","2.54M","-2.05%"
"Mar 20, 2017","867.91","869.48","870.34","864.66","1.54M","-0.51%"
"Mar 17, 2017","872.37","873.68","874.42","868.37","1.87M","0.27%"
"Mar 16, 2017","870.00","870.53","872.71","867.52","1.10M","0.19%"
"Mar 15, 2017","868.39","867.94","869.88","861.29","1.33M","0.29%"
"Mar 14, 2017","865.91","863.75","867.58","860.13","1.06M","0.15%"
"Mar 13, 2017","864.58","860.83","867.13","860.82","1.17M","0.37%"
"Mar 10, 2017","861.40","862.70","864.23","857.61","1.34M","0.41%"
"Mar 09, 2017","857.84","853.69","860.71","852.67","1.35M","0.49%"
"Mar 08, 2017","853.64","853.12","856.93","851.25","1.03M","0.29%"
"Mar 07, 2017","851.15","847.26","853.33","845.52","1.04M","0.46%"
"Mar 06, 2017","847.27","846.86","848.94","841.17","1.05M","-0.21%"
"Mar 03, 2017","849.08","848.94","850.82","844.71","1.01M","-0.09%"
"Mar 02, 2017","849.85","856.31","856.49","848.72","1.25M","-0.81%"
"Mar 01, 2017","856.75","851.38","858.00","849.02","1.82M","1.40%"
"Feb 28, 2017","844.93","847.35","848.83","841.44","1.38M","-0.56%"
"Feb 27, 2017","849.67","844.95","850.67","843.01","1.01M","0.22%"
"Feb 24, 2017","847.81","847.65","848.36","842.96","1.35M","-0.37%"
"Feb 23, 2017","851.00","851.08","852.62","842.50","1.39M","-0.04%"
"Feb 22, 2017","851.36","848.00","853.79","846.71","1.22M","0.25%"
"Feb 21, 2017","849.27","847.99","852.20","846.55","1.26M","0.32%"
"Feb 17, 2017","846.55","841.31","846.94","839.78","1.46M","0.52%"
"Feb 16, 2017","842.17","838.50","842.69","837.26","1.01M","0.58%"
"Feb 15, 2017","837.32","838.81","841.77","836.22","1.36M","-0.32%"
"Feb 14, 2017","840.03","839.77","842.00","835.83","1.36M","0.13%"
"Feb 13, 2017","838.96","837.70","841.74","836.25","1.30M","0.49%"
"Feb 10, 2017","834.85","832.95","837.15","830.51","1.42M","0.58%"
"Feb 09, 2017","830.06","831.73","831.98","826.50","1.19M","0.02%"
"Feb 08, 2017","829.88","830.53","834.25","825.11","1.30M","0.08%"
"Feb 07, 2017","829.23","825.50","831.92","823.29","1.67M","0.93%"
"Feb 06, 2017","821.62","820.92","822.39","814.29","1.35M","0.18%"
"Feb 03, 2017","820.13","823.13","826.13","819.35","1.53M","0.23%"
"Feb 02, 2017","818.26","815.00","824.56","812.05","1.69M","0.37%"
"Feb 01, 2017","815.24","824.00","824.00","812.25","2.25M","-0.60%"
"Jan 31, 2017","820.19","819.50","823.07","813.40","2.02M","-0.44%"
"Jan 30, 2017","823.83","837.06","837.23","821.03","3.52M","-2.51%"
"Jan 27, 2017","845.03","859.00","867.00","841.90","3.75M","-1.39%"
