"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 17, 2020","17,011.53","16,726.95","17,557.04","16,378.94","1.99B","0.06%"
"Mar 16, 2020","17,002.04","17,586.08","17,785.76","16,914.45","1.58B","-2.46%"
"Mar 13, 2020","17,431.05","18,183.47","18,184.46","16,690.60","2.33B","-6.08%"
"Mar 12, 2020","18,559.63","19,064.51","19,142.18","18,339.27","1.65B","-4.41%"
"Mar 11, 2020","19,416.06","19,758.26","19,974.83","19,392.25","1.29B","-2.27%"
"Mar 10, 2020","19,867.12","19,474.89","19,970.35","18,891.77","1.65B","0.85%"
"Mar 09, 2020","19,698.76","20,343.31","20,347.19","19,472.26","1.70B","-5.07%"
"Mar 06, 2020","20,749.75","21,009.80","21,061.20","20,613.91","1.12B","-2.72%"
"Mar 05, 2020","21,329.12","21,399.87","21,399.87","21,220.76","857.31M","1.09%"
"Mar 04, 2020","21,100.06","20,897.20","21,245.93","20,862.05","946.26M","0.08%"
"Mar 03, 2020","21,082.73","21,651.99","21,719.78","21,082.73","1.05B","-1.22%"
"Mar 02, 2020","21,344.08","20,849.79","21,593.11","20,834.29","1.24B","0.95%"
"Feb 28, 2020","21,142.96","21,518.01","21,528.13","20,916.40","1.48B","-3.67%"
"Feb 27, 2020","21,948.23","22,255.83","22,272.26","21,844.29","1.06B","-2.13%"
"Feb 26, 2020","22,426.19","22,374.14","22,456.55","22,127.42","993.40M","-0.79%"
"Feb 25, 2020","22,605.41","22,949.37","22,950.23","22,335.21","1.06B","-3.34%"
"Feb 21, 2020","23,386.74","23,427.77","23,588.55","23,378.33","620.67M","-0.39%"
"Feb 20, 2020","23,479.15","23,666.58","23,806.56","23,426.42","632.71M","0.34%"
"Feb 19, 2020","23,400.70","23,329.33","23,468.56","23,234.96","615.89M","0.89%"
"Feb 18, 2020","23,193.80","23,398.57","23,402.01","23,133.60","595.04M","-1.40%"
"Feb 17, 2020","23,523.24","23,489.78","23,561.98","23,335.99","540.38M","-0.69%"
"Feb 14, 2020","23,687.59","23,714.52","23,738.42","23,603.48","691.05M","-0.59%"
"Feb 13, 2020","23,827.73","23,849.76","23,908.85","23,784.31","645.17M","-0.14%"
"Feb 12, 2020","23,861.21","23,741.21","23,869.73","23,693.72","746.48M","0.74%"
"Feb 10, 2020","23,685.98","23,631.79","23,788.25","23,621.72","565.47M","-0.60%"
"Feb 07, 2020","23,827.98","23,899.01","23,943.45","23,759.42","653.61M","-0.19%"
"Feb 06, 2020","23,873.59","23,641.10","23,995.37","23,625.13","950.80M","2.38%"
"Feb 05, 2020","23,319.56","23,351.47","23,414.69","23,241.64","703.37M","1.02%"
"Feb 04, 2020","23,084.59","22,881.13","23,118.13","22,854.45","679.45M","0.49%"
