date,length,pos,neg
2015-01-01,500,0.037042000000000005,0.032108000000000005
2015-01-02,500,0.04215199999999998,0.03451400000000001
2015-01-03,500,0.034074,0.030376000000000007
2015-01-04,500,0.030451999999999993,0.03173200000000001
2015-01-05,500,0.044681999999999986,0.04265400000000001
2015-01-06,500,0.05310800000000001,0.048049999999999995
2015-01-07,500,0.048918,0.049876
2015-01-08,500,0.056555999999999995,0.048853999999999995
2015-01-09,494,0.10860323886639679,0.07289068825910928
2015-01-10,500,0.045014,0.04693400000000004
2015-01-11,500,0.05613799999999999,0.04212400000000002
2015-01-12,500,0.04521400000000001,0.043726
2015-01-13,500,0.054509999999999975,0.04610200000000002
2015-01-14,500,0.05035199999999998,0.042954000000000034
2015-01-15,500,0.05961599999999995,0.05269
2015-01-16,500,0.059304000000000016,0.049901999999999995
2015-01-17,500,0.054261999999999984,0.04637999999999999
2015-01-18,500,0.06162399999999999,0.043762
2015-01-19,500,0.05898999999999999,0.03911399999999999
2015-01-20,500,0.06441000000000001,0.04123400000000003
2015-01-21,500,0.05906199999999997,0.05057200000000001
2015-01-22,500,0.06151,0.04948200000000001
2015-01-23,500,0.07901799999999995,0.04807200000000002
2015-01-24,500,0.07060199999999998,0.039306
2015-01-25,500,0.12489000000000014,0.03961399999999999
2015-01-26,500,0.10079200000000008,0.03893599999999997
2015-01-27,500,0.06638399999999998,0.051140000000000005
2015-01-28,500,0.06200200000000001,0.05130400000000002
2015-01-29,500,0.0966839999999999,0.05323400000000005
2015-01-30,500,0.10037200000000003,0.03182600000000001
2015-01-31,500,0.10313800000000006,0.04347200000000001
2015-02-01,500,0.12341800000000022,0.036302000000000015
2015-02-02,500,0.12697400000000025,0.04341400000000001
2015-02-03,500,0.07329200000000005,0.04673399999999999
2015-02-04,500,0.17857600000000048,0.030484
2015-02-05,500,0.22256600000000068,0.023091999999999994
2015-02-06,500,0.21357400000000062,0.026398000000000005
2015-02-07,500,0.06522,0.03892399999999997
2015-02-08,500,0.04532999999999999,0.04528999999999999
2015-02-09,500,0.0747439999999999,0.06206999999999998
2015-02-10,500,0.08905599999999997,0.037815999999999995
2015-02-11,500,0.07871999999999998,0.047014
2015-02-12,500,0.055879999999999985,0.058456
2015-02-13,500,0.07714200000000003,0.04542199999999997
2015-02-14,500,0.14458800000000033,0.03464400000000002
2015-02-15,500,0.10653800000000008,0.038505999999999985
2015-02-16,500,0.13317400000000024,0.054424
2015-02-17,500,0.08164800000000001,0.047652
2015-02-18,500,0.07380999999999999,0.049997999999999994
2015-02-19,500,0.20684600000000047,0.03717800000000002
2015-02-20,500,0.1401940000000002,0.03938200000000001
2015-02-21,500,0.1197040000000002,0.040978
2015-02-22,500,0.06999399999999996,0.048053999999999986
2015-02-23,500,0.06553,0.04397199999999998
2015-02-24,500,0.08842,0.04167800000000001
2015-02-25,500,0.065932,0.04427399999999999
2015-02-26,500,0.07630200000000004,0.038914000000000004
2015-02-27,500,0.07345799999999997,0.04710000000000001
2015-02-28,500,0.05807399999999998,0.04106599999999999
2015-03-01,500,0.07549400000000002,0.03365800000000001
2015-03-02,500,0.127578,0.045176000000000015
2015-03-03,500,0.08453000000000005,0.04297199999999998
2015-03-04,500,0.09561799999999998,0.06633200000000002
2015-03-05,500,0.089192,0.057344
2015-03-06,500,0.08887,0.056530000000000004
2015-03-07,500,0.08256199999999997,0.06426600000000003
2015-03-08,386,0.0867772020725389,0.068419689119171
2015-03-09,500,0.08358400000000012,0.056146
2015-03-10,500,0.08136599999999998,0.051554000000000016
2015-03-11,500,0.08789,0.07877400000000004
2015-03-12,500,0.07926199999999997,0.063932
2015-03-13,500,0.08715799999999994,0.055506000000000034
2015-03-14,500,0.07626800000000002,0.058154
2015-03-15,387,0.08123772609819117,0.06676744186046508
2015-03-16,500,0.08882599999999997,0.04536999999999998
2015-03-17,500,0.06724000000000004,0.05762199999999997
2015-03-18,500,0.08086999999999997,0.05561200000000001
2015-03-19,500,0.06778199999999998,0.04890999999999999
2015-03-20,500,0.09339599999999994,0.04708599999999999
2015-03-21,483,0.07053416149068326,0.060412008281573476
2015-03-22,435,0.07208045977011492,0.04679770114942529
2015-03-23,512,0.08073046875000003,0.03943554687499997
2015-03-24,500,0.054317999999999984,0.059505999999999976
2015-03-25,500,0.11497400000000002,0.04537799999999998
2015-03-26,500,0.07050599999999997,0.05086400000000002
2015-03-27,500,0.08180200000000007,0.055409999999999994
2015-03-28,500,0.068962,0.05741600000000001
2015-03-29,452,0.13063938053097351,0.05451769911504424
2015-03-30,500,0.08325399999999979,0.044092
2015-03-31,500,0.09102000000000009,0.05729000000000001
2015-04-01,500,0.15649000000000007,0.058724000000000026
2015-04-02,500,0.07548600000000003,0.05793399999999997
2015-04-03,500,0.054868,0.035858
2015-04-04,500,0.06796799999999999,0.2023020000000003
2015-04-05,412,0.07604126213592234,0.1325291262135921
2015-04-06,500,0.15951400000000007,0.11326799999999979
2015-04-07,500,0.12479600000000005,0.08618800000000001
2015-04-08,500,0.07426199999999995,0.05737600000000001
2015-04-09,500,0.1273840000000001,0.05927399999999996
2015-04-10,500,0.07676799999999995,0.06100399999999999
2015-04-11,440,0.061772727272727264,0.0690295454545455
2015-04-12,283,0.07379858657243815,0.07387985865724382
2015-04-13,500,0.06862200000000002,0.15096199999999999
2015-04-14,500,0.08106799999999999,0.09364399999999995
2015-04-15,500,0.08313999999999994,0.05150800000000003
2015-04-16,500,0.11435599999999999,0.1008220000000001
2015-04-17,500,0.08281399999999997,0.06583999999999995
